--- clean_incomplete_records.py run ---
Thuốc mắt, tai, mũi, họng/Acuvail Allergan 30 ỐNG X 0.4ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Anoro Ellipta 62.5/25mcg Glaxo 30 Doses | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Auricularum 10mg | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Azarga Novartis 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Betadine SÚC HỌNG 125ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Britop Bharat 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Cetimed 10mg Medochemie 1x10 | thieu: ['dang_thuoc', 'duong_dung']
Thuốc mắt, tai, mũi, họng/Ciloxan Alcon 5ml | thieu: ['lieu_dung', 'duong_dung']
Thuốc mắt, tai, mũi, họng/Cineline 250ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Ciprofloxacin 0.3% F.t 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Clesspra DX 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Collydexa GOLD HÀ NỘI 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Collydexa HÀ NỘI 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Combigan Allergan 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Daiticol F.t 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/DUNG DỊCH NHỎ MẮT Moxieye 50mg 10m | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/DUNG DỊCH NHỎ MẮT Moxieye 50mg cpc1 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Eyedin DX Makcur 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Eyedin Makcur 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Eyelight COOL DHG 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Eyelight VITA b1b2pp DHG 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Eyetamin Bidiphar 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Flarex Alcon 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/FML Liquifilm 0.1% Allergan 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Formonide 200 Zydus 120 Doses | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Ganfort Allergan 3ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Glycerin Borat 3% F.t Pharma 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Laci-eye 0.3% cpc1 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Melyptol F.t 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Mepoly Merap 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Metobra 3mg/ml Merap | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Motarute Daewoo 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Natri Clorid 0.9% F.t 500ml DUNG DỊCH SÚC Miệng | thieu: ['lieu_dung', 'duong_dung']
Thuốc mắt, tai, mũi, họng/Nemydexan 8ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Neodex Pharmedic 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Novotane Ultra cpc1 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/NƯỚC SÚC Miệng THÁI Dương BẠC HÀ 500ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/ỐNG HÍT Inhaler Pharmedic 1x5 | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/ỐNG HÍT SAO VÀNG Danapha 1.5g | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Ospay HẢI Phòng 15ml | thieu: ['lieu_dung']
Thuốc mắt, tai, mũi, họng/Pandex DK 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Phileo 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Philoclex Hanlim Pharm 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Restasis 0.05% Allergan 1x30 ỐNG | thieu: ['ham_luong', 'duong_dung']
Thuốc mắt, tai, mũi, họng/Rhinex Uphace 15ml - XỊT MŨI | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/V.rohto Antibacterial 13ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Sancoba Santen 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Scofi Merap 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Simbrinza Novartis 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/SÚC Miệng HỌNG Medoral Merap 250ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Systane Ultra Alcon 10ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Systane Ultra Alcon 5ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Thông Xoang NAM DƯỢC 15ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Biloxcin EYE Bidiphar 5ml | thieu: ['dang_thuoc', 'duong_dung']
Thuốc mắt, tai, mũi, họng/Thuốc NHỎ Thekatadexan 8ml | thieu: ['duong_dung']
Thuốc mắt, tai, mũi, họng/Ticoldex Danapha 5ml | thieu: ['duong_dung']
